departure_spot_id,sight_seeing_spot_id,departure_spot_name,sight_seeing_spot_name,distance,time,fee
0,388,東京駅,町田薬師池公園　四季彩の杜　薬師池,40688,65,1120.0
0,389,東京駅,横浜ランドマークタワー　６９階展望フロア　スカイガーデン,34073,42,1230.0
0,390,東京駅,道の駅　しもごう,227521,183,5400.0
0,391,東京駅,湯の郷　湯西川観光センター,182918,162,4270.0
0,392,東京駅,２１世紀の森と広場,26846,57,560.0
0,393,東京駅,池上本門寺,15565,30,440.0
0,394,東京駅,高島城,194349,151,5070.0
0,395,東京駅,横須賀美術館,76930,82,2540.0
0,396,東京駅,秩父温泉　満願の湯,111728,111,3220.0
0,397,東京駅,県立秦野戸川公園,77334,76,2460.0
0,398,東京駅,箱根強羅公園内 箱根クラフトハウス,95325,88,2650.0
0,399,東京駅,史跡　佐渡金山,436469,457,8370.0
0,400,東京駅,宇都宮城址公園,129359,116,3770.0
0,401,東京駅,ＪＡ茨城旭村特産物直売所サングリーン旭,131377,113,3860.0
0,402,東京駅,服部牧場,68550,71,1750.0
0,403,東京駅,川崎市夢見ヶ崎動物公園,23309,54,440.0
0,404,東京駅,日原鍾乳洞,102723,123,1920.0
0,405,東京駅,道の駅　笹川流れ,412497,315,9190.0
0,406,東京駅,玉前神社,94840,96,2760.0
0,407,東京駅,大観覧車「コスモクロック２１」,35542,46,1230.0
0,408,東京駅,日本丸メモリアルパーク,34083,42,1230.0
0,409,東京駅,千葉県立柏の葉公園,38356,49,1400.0
0,410,東京駅,千葉県立房総のむら,73046,71,2170.0
0,411,東京駅,鑁阿寺,109426,100,3340.0
0,412,東京駅,桐生が岡動物園,128644,123,3610.0
0,413,東京駅,デンカビッグスワンスタジアム,334763,244,8320.0
0,414,東京駅,おふろｃａｆｅ　ｕｔａｔａｎｅ,36330,52,1210.0
0,415,東京駅,道の駅　大滝温泉,133048,139,3650.0
0,416,東京駅,国営越後丘陵公園,283444,213,7240.0
0,417,東京駅,天然温泉　スパロイヤル川口,24441,39,860.0
0,418,東京駅,笠森観音,76075,74,2480.0
0,419,東京駅,六歌仙倶楽部,7445,25,0
0,420,東京駅,一言主神社,51311,62,1670.0
0,421,東京駅,安比高原スキー場,585088,413,9000.0
0,422,東京駅,岩木山神社,695943,507,10330.0
0,423,東京駅,伊豆テディベア・ミュージアム,160192,158,3650.0
0,424,東京駅,ＳＵＷＡガラスの里,196683,154,5070.0
0,425,東京駅,富士川クラフトパーク,174837,140,4520.0
0,426,東京駅,神立スノーリゾート,201156,154,5740.0
0,427,東京駅,フォッサマグナミュージアム,360201,261,8720.0
0,428,東京駅,アロハガーデンたてやま,111425,106,3390.0
0,429,東京駅,川場スキー場,173913,149,4920.0
0,430,東京駅,生涯青春の湯つるつる温泉,76740,83,1920.0
0,431,東京駅,道の駅　鴨川オーシャンパーク,98241,113,2260.0
0,432,東京駅,道の駅　尾花沢,433238,313,9360.0
0,433,東京駅,道の駅　とわだ,693948,492,10370.0
0,434,東京駅,東京・湯河原温泉　万葉の湯,36273,38,1410.0
0,435,東京駅,昇仙峡ロープウェイ,148650,136,3790.0
0,436,東京駅,蛇窪神社,12687,22,440.0
0,437,東京駅,道の駅十文字,548724,389,8730.0
0,438,東京駅,道の駅　北信州やまのうち,266728,206,6870.0
0,439,東京駅,山形県郷土館「文翔館」,382810,278,8940.0
0,440,東京駅,スパメッツァおおたか　竜泉寺の湯,33535,45,1240.0
0,441,東京駅,波除神社,2907,11,0
0,442,東京駅,天然温泉　花咲の湯　ＨＡＮＡＳＡＫＩ　ＳＰＡ,41091,60,1150.0
0,443,東京駅,安曇野ちひろ美術館,249518,197,5940.0
0,444,東京駅,奥入瀬渓流,679593,491,9770.0
0,445,東京駅,高尾山ケーブルカー,57328,55,1500.0
0,446,東京駅,ヒノトントンＺＯＯ（羽村市動物公園）,57211,74,1260.0
0,447,東京駅,横浜市こども自然公園,43393,54,1570.0
0,448,東京駅,横浜市立金沢動物園,51128,73,1590.0
0,449,東京駅,白馬八方尾根スキー場,281862,241,6470.0
0,450,東京駅,森戸大明神,67105,75,2380.0
0,451,東京駅,船岡城址公園,342004,261,7880.0
0,452,東京駅,飯岡刑部岬展望館～光と風～,107184,118,2470.0
0,453,東京駅,美人林,239955,197,5910.0
0,454,東京駅,軽井沢プリンスホテルスキー場,173502,141,5020.0
0,455,東京駅,堂ヶ島洞くつめぐり,192161,177,4100.0
0,456,東京駅,あけぼの山農業公園,42697,61,1400.0
0,457,東京駅,那須テディベア・ミュージアム,189008,149,5050.0
0,458,東京駅,さくらの湯,7787,27,0
0,459,東京駅,カワスイ　川崎水族館,20453,42,500.0
0,460,東京駅,羽黒山五重塔,476357,362,10050.0
0,461,東京駅,長野市茶臼山動物園,239022,189,6370.0
0,462,東京駅,北沢浮遊選鉱場跡,435886,456,8370.0
0,463,東京駅,八甲田ロープウェー,731742,515,10820.0
0,464,東京駅,マウントジーンズ那須,201656,164,5050.0
0,465,東京駅,道の駅　いかりがせき,662423,457,10120.0
0,466,東京駅,道の駅　喜多の郷,318221,243,7260.0
0,467,東京駅,浄土ヶ浜,584016,494,9580.0
0,468,東京駅,港の見える丘公園,35719,46,1290.0
0,469,東京駅,とちのきファミリーランド,124504,115,3610.0
0,470,東京駅,蔵王ロープウェイ,372211,281,8310.0
0,471,東京駅,宮沢賢治童話村,516918,364,11250.0
0,472,東京駅,道の駅　浅虫温泉ゆ～さ浅虫,730652,511,10960.0
0,473,東京駅,森の中の水族館。山梨県立富士湧水の里水族館,116547,101,3270.0
0,474,東京駅,起雲閣,115365,113,2650.0
0,475,東京駅,大師公園,20481,34,660.0
0,476,東京駅,道の駅　よこはま,748303,542,10590.0
0,477,東京駅,元善光寺,265337,201,6330.0
0,478,東京駅,ザ・グランドスパ南大門,133583,121,3840.0
0,479,東京駅,海の駅わんど,737849,527,10610.0
0,480,東京駅,道の駅　南アルプスむら長谷,222077,185,5070.0
0,481,東京駅,盛岡手づくり村,549062,390,8580.0
0,482,東京駅,五色沼湖沼群,293356,223,6880.0
0,483,東京駅,松本市アルプス公園,231655,182,5800.0
0,484,東京駅,東京荻窪天然温泉　なごみの湯,17650,40,450.0
0,485,東京駅,スパ＆リゾート九十九里　太陽の里（日帰り入浴）,88394,92,2100.0
0,486,東京駅,のだ温泉ほのか,41373,51,1400.0
0,487,東京駅,堀切菖蒲園,13334,26,470.0
0,488,東京駅,シンフォニークルーズ,4440,14,0
0,489,東京駅,道の駅　両神温泉薬師の湯,122472,122,3650.0
0,490,東京駅,旧芝離宮恩賜庭園,4274,14,0
0,491,東京駅,鏡池,296652,230,7270.0
0,492,東京駅,筑波山,100205,129,2470.0
0,493,東京駅,円通院,363386,272,9120.0
0,494,東京駅,横浜市開港記念会館,35194,46,1230.0
